,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
244,23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,1987-07-17 00:00:00,89,2.9,Lorraine Gary,33419,Peter Benchley,1987,0,-0.0972603043478261,-10
245,25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,1987-02-13 00:00:00,93,5.7,Sylvester Stallone,40916,Gary Conway,1987,0,-0.3576968,-40
246,30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,1987-11-25 00:00:00,93,7.6,Steve Martin,98897,John Hughes,1987,1,0.6510093333333333,70
247,6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,1987-04-17 00:00:00,94,7.4,Nicolas Cage,107669,Ethan Coen,1987,1,2.807927333333333,280
248,17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,1987-03-06 00:00:00,113,7.3,Mickey Rourke,67453,William Hjortsberg,1987,1,0.010919529411764706,0
250,6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,1987-02-13 00:00:00,90,5.8,Andrew McCarthy,24626,Edward Rugoff,1987,1,6.120199333333334,610
252,27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,1987-07-01 00:00:00,120,6.8,Dennis Quaid,45172,Chip Proser,1987,0,-0.04097,0
253,15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,1988-01-15 00:00:00,102,7.1,Cher,38600,John Patrick Shanley,1987,1,4.3760352,440
254,28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,1987-05-20 00:00:00,100,6.5,Eddie Murphy,90969,Danilo Bach,1987,1,4.488035714285714,450
256,23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,1988-04-15 00:00:00,163,7.8,John Lone,76408,Mark Peploe,1987,1,0.9123578260869565,90
257,13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,1988-01-15 00:00:00,121,7.3,Robin Williams,106924,Mitch Markowitz,1987,1,8.53249,850
258,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,1987-09-18 00:00:00,140,7.7,James Wilby,11837,E.M. Forster,1987,1,0.20407384615384616,20
259,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,1987-11-25 00:00:00,102,5.9,Tom Selleck,39544,Coline Serreau,1987,1,14.252814545454546,1430
260,3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,1987-10-23 00:00:00,102,6.7,Donald Pleasence,28064,John Carpenter,1987,1,3.7274973333333334,370
261,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,1987-07-24 00:00:00,108,6.8,Lou Diamond Phillips,22839,Luis Valdez,1987,1,7.34083323076923,730
262,5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,94,7.0,Adrian Pasdar,27485,Kathryn Bigelow,1987,0,-0.3261386,-30
265,15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,1987-08-14 00:00:00,114,7.1,Kevin Costner,28684,Kenneth Fearing,1987,1,1.367301,140
270,20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,1987-12-25 00:00:00,133,7.2,William Hurt,22802,James L. Brooks,1987,1,1.5624702,160
271,2500000,New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,13539458,Túnel al infierno,PG-13,1987-05-15 00:00:00,85,6.0,Stephen Dorff,11435,Michael Nankin,1987,1,4.4157832,440
272,17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,1987-07-24 00:00:00,90,3.6,Christopher Reeve,35866,Joe Shuster,1987,0,-0.07758705882352941,-10
273,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,1987-05-01 00:00:00,92,6.0,George Kennedy,17500,Stephen King,1987,1,3.0,300
274,3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,1987-11-20 00:00:00,95,3.2,Jason Bateman,8905,Jeph Loeb,1987,1,1.6295676666666667,160
275,12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,1987-06-19 00:00:00,107,6.6,Steve Martin,34794,Edmond Rostand,1987,1,2.3375736666666667,229
276,12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,1987-04-10 00:00:00,111,6.5,Michael J. Fox,24685,Jim Cash,1987,1,4.5829899166666666,459
277,20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,1987-06-26 00:00:00,106,5.9,Dan Aykroyd,27387,Dan Aykroyd,1987,1,1.8693758,190
279,18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,1987-03-27 00:00:00,95,5.9,Kim Basinger,17903,Dale Launer,1987,1,1.1845397222222223,120
282,1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,1987-08-22 00:00:00,100,2.7,Anthony Newley,6348,Linda Palmer,1987,1,0.576615,60
