,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
5365,60000000,Columbia Pictures,USA,Ryan Murphy,Drama,80574010,Eat Pray Love,PG-13,2010-08-13 00:00:00,133,5.7,Julia Roberts,69859,Ryan Murphy,2010,1,0.3429001666666667,30
5366,65000000,Warner Bros.,USA,Todd Phillips,Comedy,100539043,Due Date,R,2010-11-05 00:00:00,95,6.6,Robert Downey Jr.,287021,Alan R. Cohen,2010,1,0.5467545076923077,50
5368,25000000,Warner Bros.,USA,Sylvain White,Action,23580735,The Losers,PG-13,2010-04-23 00:00:00,97,6.4,Idris Elba,78545,Peter Berg,2010,0,-0.0567706,-10
5369,20000000,Overture Films,USA,Breck Eisner,Horror,39123589,The Crazies,R,2010-02-26 00:00:00,101,6.5,Radha Mitchell,98210,Scott Kosar,2010,1,0.95617945,100
5370,8000000,Focus Features,USA,Anna Boden,Comedy,6350058,It's Kind of a Funny Story,PG-13,2010-10-08 00:00:00,101,7.1,Keir Gilchrist,116014,Anna Boden,2010,0,-0.20624275,-20
5371,100000000,Universal Pictures,USA,Paul Weitz,Comedy,148383780,Little Fockers,PG-13,2010-12-22 00:00:00,98,5.5,Ben Stiller,91634,John Hamburg,2010,1,0.4838378,50
5372,2500000,This Is That Productions,USA,James Gunn,Comedy,322157,Super,R,2011-06-10 00:00:00,100,6.8,Rainn Wilson,65689,James Gunn,2010,0,-0.8711372,-90
5375,20000000,Touchstone Pictures,USA,Julie Anne Robinson,Drama,62950384,The Last Song,PG,2010-03-31 00:00:00,100,5.9,Miley Cyrus,66108,Nicholas Sparks,2010,1,2.1475192,210
5379,60000000,Constantin Film,Germany,Paul W.S. Anderson,Action,60128566,Resident Evil: Afterlife,R,2010-09-10 00:00:00,96,5.9,Milla Jovovich,143707,Paul W.S. Anderson,2010,1,0.0021427666666666667,0
5381,10000000,Universal Pictures,USA,John Erick Dowdle,Horror,33583175,Devil,PG-13,2010-09-17 00:00:00,80,6.3,Chris Messina,112284,Brian Nelson,2010,1,2.3583175,240
5382,19000000,Mandate Pictures,USA,Josh Gordon,Comedy,27758465,The Switch,PG-13,2010-08-20 00:00:00,100,6.1,Jennifer Aniston,83839,Allan Loeb,2010,1,0.46097184210526315,50
5383,45000000,R.P. Productions,France,Roman Polanski,Drama,15541549,The Ghost Writer,PG-13,2010-03-19 00:00:00,128,7.2,Ewan McGregor,140059,Robert Harris,2010,0,-0.6546322444444445,-70
5384,150000000,Universal Pictures,USA,Joe Johnston,Drama,61979680,The Wolfman,R,2010-02-12 00:00:00,103,5.8,Benicio Del Toro,93175,Andrew Kevin Walker,2010,0,-0.5868021333333333,-60
5386,20000000,Screen Gems,USA,John Luessenhop,Action,57744720,Takers,PG-13,2010-08-27 00:00:00,107,6.2,Chris Brown,49828,Peter Allen,2010,1,1.887236,190
5387,47000000,Warner Bros.,USA,Jimmy Hayward,Action,10539414,Jonah Hex,PG-13,2010-06-18 00:00:00,81,4.7,Josh Brolin,48504,Mark Neveldine,2010,0,-0.7757571489361702,-80
5389,35000000,CBS Films,USA,Alan Poul,Comedy,37490007,The Back-up Plan,PG-13,2010-04-23 00:00:00,104,5.3,Jennifer Lopez,43272,Kate Angelo,2010,1,0.07114305714285714,10
5390,40000000,Columbia Pictures,USA,Andy Tennant,Action,67061228,The Bounty Hunter,PG-13,2010-03-19 00:00:00,110,5.5,Jennifer Aniston,103868,Sarah Thorp,2010,1,0.6765307,70
5391,10000000,River Road Entertainment,USA,Floria Sigismondi,Biography,3571735,The Runaways,R,2010-03-19 00:00:00,106,6.6,Kristen Stewart,41586,Floria Sigismondi,2010,0,-0.6428265,-60
5393,10000000,Rogue Pictures,USA,Colin Strause,Action,21371425,Skyline,PG-13,2010-11-12 00:00:00,97,4.4,Eric Balfour,78787,Joshua Cordes,2010,1,1.1371425,110
5394,120000000,Columbia Pictures,USA,James L. Brooks,Comedy,30212620,How Do You Know,PG-13,2010-12-17 00:00:00,100,5.4,Reese Witherspoon,37605,James L. Brooks,2010,0,-0.7482281666666667,-70
5396,7000000,Focus Features,USA,Sofia Coppola,Comedy,1768416,Somewhere,R,2011-01-21 00:00:00,97,6.3,Stephen Dorff,38036,Sofia Coppola,2010,0,-0.7473691428571428,-70
5397,20000000,Miramax,USA,John Madden,Drama,31177548,The Debt,R,2011-08-31 00:00:00,113,6.9,Helen Mirren,57945,Matthew Vaughn,2010,1,0.5588774,60
5398,3200000,Olympus Pictures,USA,Mike Mills,Comedy,5790894,Beginners,R,2011-08-26 00:00:00,105,7.2,Ewan McGregor,78833,Mike Mills,2010,1,0.809654375,80
5399,75000000,Lionsgate,USA,Robert Luketic,Action,47059963,Killers,PG-13,2010-06-04 00:00:00,100,5.4,Katherine Heigl,77029,Bob DeRosa,2010,0,-0.3725338266666667,-40
5401,30000000,Summit Entertainment,USA,Gary Winick,Adventure,53032453,Letters to Juliet,PG,2010-05-14 00:00:00,100,6.6,Amanda Seyfried,79868,Jose Rivera,2010,1,0.7677484333333333,80
5402,5000000,Olympus Pictures,USA,John Cameron Mitchell,Drama,2229058,Rabbit Hole,PG-13,2011-01-28 00:00:00,91,7.0,Nicole Kidman,42926,David Lindsay-Abaire,2010,0,-0.5541884,-60
5403,9500000,Millennium Films,USA,David Schwimmer,Crime,120016,Trust,R,2012-03-09 00:00:00,106,6.9,Clive Owen,36805,Andy Bellin,2010,0,-0.9873667368421053,-100
5405,52000000,EuropaCorp,France,Pierre Morel,Action,23979741,París en la Mira,R,2010-02-05 00:00:00,92,6.5,John Travolta,102224,Adi Hasak,2010,0,-0.5388511346153846,-50
5407,100000000,Universal Pictures,UK,Paul Greengrass,Action,35053660,Green Zone,R,2010-03-12 00:00:00,115,6.8,Matt Damon,116142,Brian Helgeland,2010,0,-0.6494634,-60
5408,3500000,Focus Features,USA,Lisa Cholodenko,Comedy,20811365,The Kids Are All Right,R,2010-07-30 00:00:00,106,7.1,Annette Bening,115520,Lisa Cholodenko,2010,1,4.946104285714286,490
5409,50000000,Warner Bros.,USA,Clint Eastwood,Drama,32746941,Hereafter,PG-13,2010-10-22 00:00:00,129,6.5,Matt Damon,83345,Peter Morgan,2010,0,-0.34506118,-30
5410,28000000,Relativity Media,USA,Brian Levant,Action,24268828,The Spy Next Door,PG,2010-01-15 00:00:00,94,5.4,Jackie Chan,33070,Jonathan Bernstein,2010,0,-0.13325614285714285,-10
5411,20000000,Focus Features,USA,Anton Corbijn,Crime,35606376,The American,R,2010-09-01 00:00:00,105,6.3,George Clooney,82995,Rowan Joffe,2010,1,0.7803188,80
5412,8000000,Magic Light Pictures,UK,Jonathan Lynn,Action,117190,Wild Target,PG-13,2010-06-18 00:00:00,98,6.9,Bill Nighy,31864,Lucinda Coxon,2010,0,-0.98535125,-100
5413,6000000,Sedic International,Japan,Takashi Miike,Action,802524,13 Assassins,R,2010-09-25 00:00:00,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010,0,-0.866246,-90
5414,80000000,Warner Bros.,USA,Zack Snyder,Animation,55675313,Legend of the Guardians: The Owls of Ga'Hoole,PG,2010-09-24 00:00:00,97,7.0,Jim Sturgess,69624,John Orloff,2010,0,-0.3040585875,-30
5415,22000000,River Road Entertainment,USA,Doug Liman,Biography,9528092,Fair Game,PG-13,2010-12-03 00:00:00,108,6.8,Naomi Watts,40837,Jez Butterworth,2010,0,-0.5669049090909091,-60
5416,37000000,Warner Bros.,USA,Kevin Smith,Action,44875481,Cop Out,R,2010-02-26 00:00:00,107,5.6,Bruce Willis,78157,Robb Cullen,2010,1,0.21285083783783784,20
5417,30000000,Summit Entertainment,USA,Jon M. Chu,Drama,42400223,Step Up 3D,PG-13,2010-08-06 00:00:00,107,6.2,Sharni Vinson,50180,Amy Andelson,2010,1,0.4133407666666667,40
5418,23000000,Studio Ghibli,Japan,Hiromasa Yonebayashi,Animation,19202743,The Secret World of Arrietty,G,2012-02-17 00:00:00,94,7.6,Bridgit Mendler,59799,Mary Norton,2010,0,-0.1650981304347826,-20
5419,20000000,Screen Gems,USA,Neil LaBute,Comedy,42739347,Death at a Funeral,R,2010-04-16 00:00:00,92,5.7,Chris Rock,38627,Dean Craig,2010,1,1.13696735,110
5420,25000000,Miramax,USA,Troy Nixey,Fantasy,24042490,Don't Be Afraid of the Dark,R,2011-08-26 00:00:00,99,5.6,Katie Holmes,42545,Guillermo del Toro,2010,0,-0.0383004,0
5421,12000000,Dharma Productions,India,Karan Johar,Adventure,4018695,My Name Is Khan,PG-13,2010-02-12 00:00:00,165,8.0,Shah Rukh Khan,81130,Shibani Bathija,2010,0,-0.66510875,-70
5422,32000000,Universal Pictures,USA,Miguel Sapochnik,Action,13794835,Repo Men,R,2010-03-19 00:00:00,111,6.3,Jude Law,91561,Eric Garcia,2010,0,-0.56891140625,-60
5423,20000000,Regency Enterprises,USA,Jason Friedberg,Adventure,36661504,Vampires Suck,PG-13,2010-08-18 00:00:00,82,3.5,Jenn Proske,41062,Jason Friedberg,2010,1,0.8330752,80
5424,40000000,Bad Robot,USA,Roger Michell,Comedy,31011732,Morning Glory,PG-13,2010-11-10 00:00:00,100,6.5,Rachel McAdams,62536,Aline Brosh McKenna,2010,0,-0.2247067,-20
5425,15000000,Not specified,UK,John Wells,Drama,4439063,The Company Men,R,2011-02-11 00:00:00,104,6.8,Ben Affleck,38636,John Wells,2010,0,-0.7040624666666667,-70
5427,48000000,Twentieth Century Fox Film Corporation,USA,Michael Lembeck,Comedy,60022256,Tooth Fairy,PG,2010-01-22 00:00:00,101,5.0,Dwayne Johnson,33336,Lowell Ganz,2010,1,0.25046366666666664,30
5428,650000,Glass Eye Pix,USA,Jim Mickle,Drama,18469,Stake Land,R,2011-12-09 00:00:00,98,6.5,Connor Paolo,36801,Nick Damici,2010,0,-0.9715861538461539,-100
5430,35000000,Walt Disney Pictures,USA,Randall Wallace,Biography,59713955,Secretariat,PG,2010-10-08 00:00:00,123,7.2,Diane Lane,22288,Mike Rich,2010,1,0.706113,70
5431,500000,Realitism Films,France,Quentin Dupieux,Comedy,98017,Rubber,R,2010-11-10 00:00:00,82,5.8,Stephen Spinella,28442,Quentin Dupieux,2010,0,-0.803966,-80
5433,22000000,Mediapro,USA,Woody Allen,Comedy,3247816,You Will Meet a Tall Dark Stranger,R,2010-10-22 00:00:00,100,6.3,Anthony Hopkins,39014,Woody Allen,2010,0,-0.852372,-90
5435,13000000,Hero Entertainment,USA,Michael Winterbottom,Crime,214966,The Killer Inside Me,R,2010-12-17 00:00:00,109,6.1,Casey Affleck,30060,John Curran,2010,0,-0.9834641538461538,-100
5436,112000000,Twentieth Century Fox Film Corporation,USA,Rob Letterman,Adventure,42779261,Gulliver's Travels,PG,2010-12-25 00:00:00,85,4.9,Jack Black,56336,Joe Stillman,2010,0,-0.6180423125,-60
5437,25000000,Les Productions du Trésor,France,Guillaume Canet,Comedy,206088,Little White Lies,NOT RATED,2010-10-20 00:00:00,134,7.1,François Cluzet,20148,Guillaume Canet,2010,0,-0.99175648,-100
5438,10000000,Broadway Video,USA,Jorma Taccone,Action,8460995,MacGruber,R,2010-05-21 00:00:00,90,5.5,Will Forte,37743,Will Forte,2010,0,-0.1539005,-20
5439,3000000,Paramount Pictures,USA,Tod Williams,Horror,84752907,Paranormal Activity 2,R,2010-10-22 00:00:00,91,5.7,Katie Featherston,87197,Michael R. Perry,2010,1,27.250969,2730
5440,1800000,Strike Entertainment,France,Daniel Stamm,Drama,41034350,El último exorcismo,PG-13,2010-08-27 00:00:00,87,5.6,Patrick Fabian,43587,Huck Botko,2010,1,21.79686111111111,2180
5441,22000000,Millennium Films,USA,John Curran,Drama,1796024,Stone,R,2010-10-22 00:00:00,105,5.4,Edward Norton,36456,Angus MacLachlan,2010,0,-0.9183625454545454,-90
5442,32000000,New Line Cinema,USA,Nanette Burstein,Comedy,17804299,Going the Distance,R,2010-09-03 00:00:00,100,6.3,Drew Barrymore,52508,Geoff LaTulippe,2010,0,-0.44361565625,-40
5443,7000000,"Last Picture Company, The",USA,Spencer Susser,Comedy,382946,Hesher,R,2011-06-25 00:00:00,106,7.1,Joseph Gordon-Levitt,46153,Spencer Susser,2010,0,-0.9452934285714286,-90
5445,8000000,Annapurna Productions,USA,Mitch Glazer,Drama,3669,Passion Play,R,2011,94,5.0,Mickey Rourke,7540,Mitch Glazer,2010,0,-0.999541375,-100
5447,4000000,The Weinstein Company,USA,Abe Sylvia,Comedy,53630,Dirty Girl,R,2011-07-07 00:00:00,90,6.5,Juno Temple,9432,Abe Sylvia,2010,0,-0.9865925,-100
5448,12500000,Omega Entertainment,USA,Tony Goldwyn,Biography,6783129,Conviction,R,2010-11-05 00:00:00,107,7.2,Hilary Swank,37145,Pamela Gray,2010,0,-0.45734968,-50
5450,25000000,GK Films,USA,William Monahan,Crime,6911,London Boulevard,R,2010-11-26 00:00:00,103,6.2,Colin Farrell,42460,William Monahan,2010,0,-0.99972356,-100
5451,25000000,"American Film Company, The",USA,Robert Redford,Crime,11538204,The Conspirator,PG-13,2011-04-15 00:00:00,122,6.9,Robin Wright,25030,James D. Solomon,2010,0,-0.53847184,-50
5453,20000000,Miramax,USA,Julie Taymor,Comedy,277943,The Tempest,PG-13,2011-01-07 00:00:00,110,5.4,Helen Mirren,6589,Julie Taymor,2010,0,-0.98610285,-100
5454,7000000,Scott Free Productions,USA,Jay Duplass,Comedy,7455447,Cyrus,R,2010-07-16 00:00:00,91,6.3,John C. Reilly,31320,Mark Duplass,2010,1,0.06506385714285715,10
5455,80000000,Warner Bros.,USA,Eric Brevig,Animation,100246011,Yogi Bear,PG,2010-12-17 00:00:00,100,4.6,Dan Aykroyd,17533,J.R. Ventimilia,2010,1,0.2530751375,30
5456,15000000,Screen Gems,USA,Shana Feste,Drama,20218921,Country Strong,PG-13,2011-01-07 00:00:00,117,6.3,Garrett Hedlund,15478,Shana Feste,2010,1,0.34792806666666665,30
5458,500000,Stacey Testro International,USA,Nick Tomnay,Comedy,48430,The Perfect Host,R,2011-05-07 00:00:00,100,6.8,David Hyde Pierce,21832,Nick Tomnay,2010,0,-0.90314,-90
5460,10000000,Ealing Studios,UK,John Landis,Comedy,4833,Burke and Hare,R,2011-09-09 00:00:00,91,6.2,Bill Bailey,17228,Piers Ashworth,2010,0,-0.9995167,-100
5464,25000000,Aramid Entertainment Fund,USA,Taylor Hackford,Biography,134904,Love Ranch,R,2011-01-06 00:00:00,100,5.7,Helen Mirren,2558,Mark Jacobson,2010,0,-0.99460384,-100
5465,7200000,Audley Films,UK,Nigel Cole,Biography,1094798,Made in Dagenham,R,2011-06-03 00:00:00,113,7.2,Sally Hawkins,11904,William Ivory,2010,0,-0.8479447222222222,-80
5466,4500000,10th Hole Productions,USA,Galt Niederhoffer,Comedy,103280,The Romantics,PG-13,2010-05-26 00:00:00,100,5.1,Katie Holmes,10547,Galt Niederhoffer,2010,0,-0.9770488888888889,-100
5469,5000000,Temple Hill Entertainment,USA,Dan Rush,Comedy,2711210,Everything Must Go,R,2011-10-14 00:00:00,97,6.4,Will Ferrell,43290,Dan Rush,2010,0,-0.457758,-50
5470,45000000,Rogue,New Zealand,Sngmoo Lee,Action,5664251,The Warrior's Way,R,2010-12-03 00:00:00,100,6.3,Dong-gun Jang,23178,Sngmoo Lee,2010,0,-0.8741277555555556,-90
5471,25000000,Rogue,USA,Wes Craven,Horror,14637490,My Soul to Take,R,2010-10-08 00:00:00,100,4.8,Max Thieriot,17312,Wes Craven,2010,0,-0.4145004,-40
5472,31000000,CBS Films,USA,Tom Vaughan,Drama,11854694,Extraordinary Measures,PG,2010-01-22 00:00:00,106,6.5,Brendan Fraser,14980,Robert Nelson Jacobs,2010,0,-0.6175905161290323,-60
5474,800000,ArieScope Pictures,USA,Adam Green,Comedy,62000,Hatchet II,R,2010-11,85,5.5,Danielle Harris,10103,Adam Green,2010,0,-0.9225,-90
5475,50000000,Twentieth Century Fox Film Corporation,USA,Tom Dey,Comedy,33644788,Marmaduke,PG,2010-06-04 00:00:00,100,4.2,Owen Wilson,12104,Tim Rasmussen,2010,0,-0.32710424,-30
5483,20000000,Hyde Park Films,USA,Kevin Munroe,Action,1183354,Dylan Dog: Dead of Night,PG-13,2011-04-29 00:00:00,100,5.1,Brandon Routh,13559,Thomas Dean Donnelly,2010,0,-0.9408323,-90
5485,15000000,An Olive Branch Productions,Canada,George Hickenlooper,Biography,1039869,Casino Jack,R,2011-01-07 00:00:00,108,6.2,Kevin Spacey,15443,Norman Snider,2010,0,-0.9306754,-90
5488,12000000,Company Films,USA,Malcolm Venville,Comedy,101882,Henry's Crime,R,2011-01-14 00:00:00,108,6.0,Keanu Reeves,16513,Sacha Gervasi,2010,0,-0.9915098333333333,-100
5492,85000000,CD2 Films,USA,Brad Peyton,Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,PG,2010-07-30 00:00:00,100,4.3,Bette Midler,11161,Ron J. Friedman,2010,0,-0.48722643529411763,-50
5493,35000000,Summit Entertainment,USA,Roger Kumble,Comedy,17596256,Furry Vengeance,PG,2010-04-30 00:00:00,100,3.8,Brendan Fraser,13245,Michael Carnes,2010,0,-0.4972498285714286,-50
5497,10000000,Herrick Entertainment,USA,Brad Anderson,Horror,22197,Vanishing on 7th Street,R,2011-02-05 00:00:00,92,4.9,Hayden Christensen,22864,Anthony Jaswinski,2010,0,-0.9977803,-100
5498,65000,Tiny Ponies,USA,Lena Dunham,Comedy,389804,Tiny Furniture,NOT RATED,2012-03-30 00:00:00,98,6.2,Lena Dunham,12702,Lena Dunham,2010,1,4.996984615384616,500
5499,20000000,Lions Gate Family Entertainment,USA,Anthony Bell,Animation,25077977,Alpha and Omega,PG,2010-09-17 00:00:00,90,5.3,Hayden Panettiere,11636,Chris Denk,2010,1,0.25389885,30
5500,125000000,Warner Bros.,USA,David Yates,Adventure,381011219,Harry Potter and the Deathly Hallows: Part 2,PG-13,2011-07-15 00:00:00,130,8.1,Daniel Radcliffe,608969,Steve Kloves,2011,1,2.048089752,200
5501,163000000,Universal Pictures,USA,Jon Favreau,Action,100240551,Cowboys & Aliens,PG-13,2011-07-29 00:00:00,119,6.0,Daniel Craig,182868,Roberto Orci,2011,0,-0.3850272944785276,-40
5502,250000000,Walt Disney Pictures,USA,Rob Marshall,Action,241071802,Pirates of the Caribbean: On Stranger Tides,PG-13,2011-05-20 00:00:00,100,6.6,Johnny Depp,408968,Ted Elliott,2011,0,-0.035712792,0
5503,15000000,FilmDistrict,USA,Nicolas Winding Refn,Crime,35060689,Drive,R,2011-09-16 00:00:00,100,7.8,Ryan Gosling,472901,Hossein Amini,2011,1,1.3373792666666666,130
5504,25000000,DreamWorks,USA,Tate Taylor,Drama,169708112,The Help,PG-13,2011-08-10 00:00:00,146,8.1,Emma Stone,351321,Tate Taylor,2011,1,5.78832448,580
5505,50000000,Carousel Productions (II),USA,Glenn Ficarra,Comedy,84351197,"Crazy, Stupid, Love.",PG-13,2011-07-29 00:00:00,100,7.4,Steve Carell,404694,Dan Fogelman,2011,1,0.68702394,70
5506,90000000,Columbia Pictures,USA,David Fincher,Crime,102515793,The Girl with the Dragon Tattoo,R,2011-12-21 00:00:00,158,7.8,Daniel Craig,356094,Steven Zaillian,2011,1,0.13906436666666666,10
5508,32500000,Universal Pictures,USA,Paul Feig,Comedy,169106725,Bridesmaids,R,2011-05-13 00:00:00,125,6.8,Kristen Wiig,232190,Kristen Wiig,2011,1,4.203283846153846,420
5509,82000000,Warner Bros.,USA,Zack Snyder,Action,36392502,Sucker Punch,PG-13,2011-03-25 00:00:00,110,6.1,Emily Browning,207858,Zack Snyder,2011,0,-0.556189,-60
5510,150000000,Paramount Pictures,USA,Kenneth Branagh,Action,181030624,Thor,PG-13,2011-05-06 00:00:00,115,7.0,Chris Hemsworth,585830,Ashley Miller,2011,1,0.20687082666666667,20
5512,140000000,Paramount Pictures,USA,Joe Johnston,Action,176654505,Captain America: The First Avenger,PG-13,2011-07-22 00:00:00,124,6.9,Chris Evans,563504,Christopher Markus,2011,1,0.26181789285714285,30
5513,25000000,Lionsgate,USA,Gavin O'Connor,Drama,13657115,Warrior,PG-13,2011-09-09 00:00:00,140,8.2,Tom Hardy,365224,Gavin O'Connor,2011,0,-0.4537154,-50
5514,160000000,Twentieth Century Fox Film Corporation,USA,Matthew Vaughn,Action,146408305,X-Men: First Class,PG-13,2011-06-03 00:00:00,132,7.8,James McAvoy,561501,Ashley Miller,2011,0,-0.08494809375,-10
5515,200000000,Warner Bros.,USA,Martin Campbell,Action,116601172,Green Lantern,PG-13,2011-06-17 00:00:00,114,5.6,Ryan Reynolds,235591,Greg Berlanti,2011,0,-0.41699414,-40
5516,27000000,Relativity Media,USA,Neil Burger,Mystery,79249455,Limitless,PG-13,2011-03-18 00:00:00,105,7.4,Bradley Cooper,454361,Leslie Dixon,2011,1,1.935165,190
5517,75000000,Relativity Media,USA,Tarsem Singh,Action,83504017,Immortals,R,2011-11-11 00:00:00,110,6.0,Henry Cavill,144952,Charley Parlapanides,2011,1,0.11338689333333334,10
5518,50000000,Paramount Pictures,USA,J.J. Abrams,Mystery,127004179,Super 8,PG-13,2011-06-10 00:00:00,112,7.0,Elle Fanning,303656,J.J. Abrams,2011,1,1.54008358,150
5519,93000000,Twentieth Century Fox Film Corporation,USA,Rupert Wyatt,Action,176760185,Rise of the Planet of the Apes,PG-13,2011-08-05 00:00:00,105,7.6,James Franco,439105,Rick Jaffa,2011,1,0.9006471505376344,90
5520,60000000,Screen Gems,USA,Scott Stewart,Action,29136626,Priest,PG-13,2011-05-13 00:00:00,87,5.7,Paul Bettany,102144,Cory Goodman,2011,0,-0.5143895666666667,-50
5521,195000000,Paramount Pictures,USA,Michael Bay,Action,352390543,Transformers: Dark of the Moon,PG-13,2011-06-29 00:00:00,154,6.3,Shia LaBeouf,345669,Ehren Kruger,2011,1,0.8071309897435898,80
5522,40000000,Regency Enterprises,USA,Andrew Niccol,Action,37520095,In Time,PG-13,2011-10-28 00:00:00,109,6.7,Justin Timberlake,324606,Andrew Niccol,2011,0,-0.061997625,-10
5523,50000000,Twentieth Century Fox Film Corporation,USA,Cameron Crowe,Comedy,75624550,We Bought a Zoo,PG,2011-12-23 00:00:00,124,7.1,Matt Damon,118916,Aline Brosh McKenna,2011,1,0.512491,50
5524,17000000,Mediapro,Spain,Woody Allen,Comedy,56816662,Midnight in Paris,PG-13,2011-06-10 00:00:00,100,7.7,Owen Wilson,327869,Woody Allen,2011,1,2.342156588235294,229
5525,32000000,Summit Entertainment,USA,Duncan Jones,Mystery,54712227,Source Code,PG-13,2011-04-01 00:00:00,93,7.5,Jake Gyllenhaal,414859,Ben Ripley,2011,1,0.70975709375,70
5526,145000000,Paramount Pictures,USA,Brad Bird,Action,209397903,Mission: Impossible - Ghost Protocol,PG-13,2011-12-21 00:00:00,132,7.4,Tom Cruise,388730,Bruce Geller,2011,1,0.44412346896551724,40
5527,80000000,Columbia Pictures,USA,Dennis Dugan,Comedy,103028109,Just Go with It,PG-13,2011-02-11 00:00:00,117,6.4,Adam Sandler,185840,Allan Loeb,2011,1,0.2878513625,30
5528,40000000,Lionsgate,USA,Brad Furman,Crime,58009200,The Lincoln Lawyer,R,2011-03-18 00:00:00,118,7.3,Matthew McConaughey,184728,John Romano,2011,1,0.45023,50
5529,35000000,New Line Cinema,USA,Seth Gordon,Comedy,117538559,Horrible Bosses,R,2011-07-08 00:00:00,106,6.9,Jason Bateman,375032,Michael Markowitz,2011,1,2.358244542857143,240
5530,60000000,DreamWorks,USA,D.J. Caruso,Action,55100437,I Am Number Four,PG-13,2011-02-18 00:00:00,109,6.1,Alex Pettyfer,205616,Alfred Gough,2011,0,-0.08165938333333334,-10
5531,6500000,See-Saw Films,UK,Steve McQueen,Drama,4000304,Shame,NC-17,2012-03-16 00:00:00,101,7.2,Michael Fassbender,158515,Steve McQueen,2011,0,-0.3845686153846154,-40
5532,40000000,Dimension Films,USA,Wes Craven,Horror,38180928,Scream 4,R,2011-04-15 00:00:00,111,6.2,Neve Campbell,110371,Kevin Williamson,2011,0,-0.0454768,0
5533,35000000,Screen Gems,USA,Will Gluck,Comedy,55802754,Friends with Benefits,R,2011-07-22 00:00:00,109,6.6,Mila Kunis,292555,Keith Merryman,2011,1,0.5943644,60
5534,20000000,Columbia Pictures,USA,Jake Kasdan,Comedy,100292856,Bad Teacher,R,2011-06-24 00:00:00,92,5.7,Cameron Diaz,169725,Gene Stupnitsky,2011,1,4.0146428,400
5535,150000000,Paramount Pictures,USA,Martin Scorsese,Adventure,73864507,Hugo,PG,2011-11-23 00:00:00,126,7.5,Asa Butterfield,264187,John Logan,2011,0,-0.5075699533333333,-50
5536,1000000,Snoot Entertainment,USA,Adam Wingard,Horror,18474268,You're Next,R,2013-08-23 00:00:00,95,6.5,Sharni Vinson,70259,Simon Barrett,2011,1,17.474268,1750
5537,50000000,Columbia Pictures,USA,Bennett Miller,Biography,75605492,Moneyball,PG-13,2011-09-23 00:00:00,133,7.6,Brad Pitt,302465,Steven Zaillian,2011,1,0.51210984,50
5538,15000000,Focus Features,USA,Lone Scherfig,Drama,13843771,One Day,PG-13,2011-08-19 00:00:00,107,7.0,Anne Hathaway,116446,David Nicholls,2011,0,-0.07708193333333334,-10
5540,25000000,Paramount Pictures,USA,Ivan Reitman,Comedy,70662220,No Strings Attached,R,2011-01-21 00:00:00,108,6.2,Natalie Portman,181844,Elizabeth Meriwether,2011,1,1.8264888,180
5541,110000000,Summit Entertainment,USA,Bill Condon,Adventure,281287133,The Twilight Saga: Breaking Dawn - Part 1,PG-13,2011-11-18 00:00:00,117,4.9,Kristen Stewart,193280,Melissa Rosenberg,2011,1,1.5571557545454546,160
5542,7000000,BBC Films,UK,Lynne Ramsay,Drama,1738692,We Need to Talk About Kevin,R,2012-01-13 00:00:00,112,7.5,Tilda Swinton,108592,Lynne Ramsay,2011,0,-0.7516154285714286,-80
5543,125000000,Warner Bros.,USA,Guy Ritchie,Action,186848418,Sherlock Holmes: A Game of Shadows,PG-13,2011-12-16 00:00:00,129,7.5,Robert Downey Jr.,365008,Michele Mulroney,2011,1,0.494787344,50
5544,7400000,Zentropa Entertainments,Denmark,Lars von Trier,Drama,3029870,Melancolía,R,2012-07-27 00:00:00,135,7.1,Kirsten Dunst,140218,Lars von Trier,2011,0,-0.5905581081081082,-60
5545,125000000,Universal Pictures,USA,Justin Lin,Action,209837675,Fast Five,PG-13,2011-04-29 00:00:00,130,7.3,Vin Diesel,307369,Chris Morgan,2011,1,0.6787014,70
5546,30000000,Focus Features,USA,Joe Wright,Action,40259119,Hanna,PG-13,2011-04-08 00:00:00,111,6.8,Saoirse Ronan,166517,Seth Lochhead,2011,1,0.34197063333333333,30
5547,50200000,Universal Pictures,USA,George Nolfi,Romance,62495645,The Adjustment Bureau,PG-13,2011-03-04 00:00:00,106,7.1,Matt Damon,211918,George Nolfi,2011,1,0.2449331673306773,20
5548,13000000,Blue Haze Entertainment,Spain,Pedro Almodóvar,Drama,3185812,La piel que habito,R,2011-12-02 00:00:00,120,7.6,Antonio Banderas,112125,Thierry Jonquet,2011,0,-0.7549375384615384,-80
5549,25000000,Open Road Films (II),USA,Joe Carnahan,Action,51580136,The Grey,R,2012-01-27 00:00:00,117,6.8,Liam Neeson,214403,Joe Carnahan,2011,1,1.06320544,110
5550,110000000,DreamWorks,USA,Shawn Levy,Action,85468508,Real Steel,PG-13,2011-10-07 00:00:00,127,7.1,Hugh Jackman,268336,John Gatins,2011,0,-0.22301356363636363,-20
5551,135000000,Paramount Pictures,USA,Gore Verbinski,Animation,123477607,Rango,PG,2011-03-04 00:00:00,107,7.2,Johnny Depp,198267,John Logan,2011,0,-0.08535105925925926,-10
